Sexo,Horas de estudio por semana,Porcentaje de asistencia,Calificaciones previas,Nivel de educación de los padres,Acceso a internet,Extracurricular_Activities,Calificación,Condición
Masculino,31,68.26784098,86,Secundario,Sí,Sí,63,Aprobado
Masculino,16,78.22292713,73,Doctorado,No,No,50,Reprobado
Femenino,21,87.52509624,74,Doctorado,Sí,No,55,Reprobado
Femenino,27,92.07648302,99,Universitario,No,No,65,Aprobado
Femenino,37,98.65551746,63,Maestría,No,Sí,70,Aprobado
Masculino,30,84.15919282,77,Maestría,Sí,No,61,Aprobado
Masculino,24,89.38949444,95,Secundario,Sí,Sí,61,Aprobado
Masculino,31,50.68359824,78,Maestría,No,No,50,Reprobado
Femenino,34,80.8631856,94,Doctorado,No,Sí,65,Aprobado
Masculino,27,65.49684631,86,Secundario,Sí,No,55,Reprobado
Femenino,35,69.83246865,58,Secundario,Sí,Sí,57,Reprobado
Masculino,11,92.10457075,95,Maestría,Sí,No,62,Aprobado
Masculino,25,78.8815977,81,Secundario,No,No,59,Reprobado
Femenino,18,66.60732063,64,Secundario,No,No,50,Reprobado
Femenino,12,62.21765777,62,Maestría,Sí,No,50,Reprobado
Femenino,34,55.03973015,71,Secundario,Sí,Sí,50,Reprobado
Masculino,32,93.03160089,78,Universitario,Sí,Sí,77,Aprobado
Femenino,24,71.08519673,81,Maestría,Sí,Sí,56,Reprobado
Femenino,37,97.70434683,55,Secundario,Sí,Sí,58,Reprobado
Femenino,39,85.19730676,62,Doctorado,Sí,No,57,Reprobado
Femenino,27,92.07648302,99,Universitario,No,No,65,Aprobado
Masculino,14,80.09676978,79,Secundario,No,Sí,55,Reprobado
Masculino,36,97.22048628,93,Maestría,Sí,Sí,65,Aprobado
Masculino,27,93.82220379,57,Secundario,Sí,No,57,Reprobado
Femenino,20,89.07572409,92,Universitario,Sí,Sí,62,Aprobado
Femenino,26,70.01502445,69,Universitario,No,No,50,Reprobado
Masculino,27,99.02884001,85,Secundario,Sí,Sí,64,Aprobado
Femenino,38,78.98249672,96,Maestría,No,No,71,Aprobado
Femenino,32,68.89252746,66,Doctorado,Sí,Sí,58,Reprobado
Femenino,27,79.25747662,67,Maestría,Sí,Sí,50,Reprobado
Masculino,39,50.91212407,52,Universitario,No,Sí,50,Reprobado
Masculino,14,78.79992089,91,Doctorado,No,Sí,61,Aprobado
Femenino,15,77.83607924,95,Maestría,No,Sí,61,Aprobado
Femenino,28,96.20208796,83,Secundario,No,Sí,67,Aprobado
Femenino,20,59.22314357,96,Universitario,No,Sí,64,Aprobado
Femenino,37,93.053401,81,Universitario,No,Sí,61,Aprobado
Femenino,29,68.86429826,92,Secundario,No,No,64,Aprobado
Masculino,14,84.35827527,94,Secundario,Sí,Sí,59,Reprobado
Masculino,28,90.26574837,74,Doctorado,No,Sí,64,Aprobado
Femenino,13,73.71186544,77,Doctorado,Sí,Sí,55,Reprobado
Masculino,32,88.44588707,78,Secundario,No,Sí,56,Reprobado
Masculino,37,81.96806785,67,Universitario,No,Sí,56,Reprobado
Femenino,29,68.86429826,92,Secundario,No,No,64,Aprobado
Masculino,21,65.80982911,92,Universitario,Sí,No,65,Aprobado
Femenino,23,86.60922892,79,Secundario,Sí,No,55,Reprobado
Femenino,35,70.31961541,85,Doctorado,No,No,59,Reprobado
Femenino,22,60.08652312,78,Maestría,No,Sí,50,Reprobado
Femenino,35,66.6407893,78,Maestría,Sí,Sí,54,Reprobado
Masculino,16,85.92286354,83,Doctorado,Sí,No,55,Reprobado
Femenino,20,89.07572409,92,Universitario,Sí,Sí,62,Aprobado
Femenino,37,76.48308393,82,Secundario,No,Sí,63,Aprobado
Femenino,19,90.81928676,88,Doctorado,Sí,Sí,56,Reprobado
Masculino,33,77.4301559,94,Universitario,Sí,Sí,58,Reprobado
Femenino,37,89.82358878,84,Secundario,No,Sí,68,Aprobado
Femenino,21,80.15987011,63,Secundario,Sí,No,50,Reprobado
Masculino,12,88.69172616,80,Doctorado,No,Sí,50,Reprobado
Masculino,10,91.25663383,85,Universitario,Sí,Sí,63,Aprobado
Femenino,29,62.6944282,56,Maestría,Sí,Sí,54,Reprobado
Femenino,22,92.40640477,51,Universitario,Sí,No,53,Reprobado
Masculino,37,66.79329286,70,Universitario,No,Sí,55,Reprobado
Masculino,35,95.53120018,66,Secundario,Sí,No,65,Aprobado
Masculino,39,81.66203875,97,Universitario,Sí,Sí,66,Aprobado
Masculino,36,60.25226643,80,Universitario,No,No,50,Reprobado
Femenino,15,91.85394954,93,Universitario,No,Sí,67,Aprobado
Masculino,39,81.66203875,97,Universitario,Sí,Sí,66,Aprobado
Femenino,22,93.41505535,88,Secundario,No,No,63,Aprobado
Femenino,37,86.07664306,60,Universitario,Sí,No,51,Reprobado
Femenino,35,87.08434721,73,Maestría,No,Sí,60,Aprobado
Femenino,15,56.43741991,58,Universitario,Sí,Sí,50,Reprobado
Femenino,17,54.55010455,91,Doctorado,No,No,50,Reprobado
Masculino,26,80.30509405,62,Secundario,No,No,56,Reprobado
Femenino,35,59.11419392,55,Doctorado,No,No,57,Reprobado
Masculino,26,59.80565498,52,Secundario,No,Sí,50,Reprobado
Masculino,16,60.63403922,76,Universitario,No,No,50,Reprobado
Masculino,24,73.6605059,68,Secundario,Sí,No,57,Reprobado
Femenino,34,76.82406757,55,Secundario,Sí,No,50,Reprobado
Masculino,32,62.41132214,60,Secundario,No,Sí,50,Reprobado
Masculino,27,96.64690335,65,Universitario,No,No,63,Aprobado
Femenino,34,98.72736326,94,Universitario,No,Sí,66,Aprobado
Femenino,29,84.88337868,54,Maestría,Sí,Sí,50,Reprobado
Masculino,35,98.75335815,89,Universitario,Sí,No,71,Aprobado
Masculino,20,97.93135887,95,Universitario,No,Sí,61,Aprobado
Masculino,38,94.98236986,84,Doctorado,Sí,No,71,Aprobado
Masculino,30,80.52023335,52,Doctorado,Sí,No,59,Reprobado
Femenino,37,86.02580307,57,Doctorado,No,No,60,Aprobado
Femenino,23,65.72982784,91,Universitario,No,No,58,Reprobado
Masculino,35,76.86317084,79,Doctorado,Sí,Sí,57,Reprobado
Masculino,11,54.36450898,62,Secundario,No,Sí,50,Reprobado
Femenino,30,74.23891836,71,Secundario,Sí,Sí,60,Aprobado
Femenino,15,79.37268021,83,Secundario,Sí,No,61,Aprobado
Femenino,15,77.83607924,95,Maestría,No,Sí,61,Aprobado
Masculino,28,90.26574837,74,Doctorado,No,Sí,64,Aprobado
Femenino,16,54.34625075,87,Secundario,No,No,50,Reprobado
Femenino,33,60.22722966,83,Doctorado,No,No,56,Reprobado
Femenino,25,86.14480483,54,Maestría,No,Sí,50,Reprobado
Masculino,19,56.69260594,72,Universitario,Sí,Sí,50,Reprobado
Masculino,25,77.37231534,79,Maestría,No,No,57,Reprobado
Masculino,21,74.91238489,96,Secundario,No,No,61,Aprobado
Femenino,10,67.25960724,96,Maestría,No,Sí,64,Aprobado
Femenino,13,99.02313625,91,Doctorado,Sí,Sí,55,Reprobado
Masculino,23,87.49553747,88,Universitario,Sí,No,57,Reprobado
Masculino,21,77.43576546,97,Universitario,Sí,No,52,Reprobado
Femenino,28,87.21248259,75,Universitario,No,No,65,Aprobado
Femenino,32,71.10180298,88,Maestría,Sí,Sí,51,Reprobado
Masculino,34,67.69356883,75,Universitario,No,No,56,Reprobado
Masculino,17,76.71731375,79,Secundario,No,No,50,Reprobado
Masculino,13,78.47217589,52,Maestría,No,Sí,50,Reprobado
Masculino,39,81.66203875,97,Universitario,Sí,Sí,66,Aprobado
Masculino,19,96.60071711,54,Universitario,No,No,52,Reprobado
Femenino,19,87.95179228,100,Secundario,No,No,64,Aprobado
Masculino,24,62.53653303,82,Doctorado,Sí,Sí,52,Reprobado
Femenino,21,95.86978065,58,Universitario,Sí,Sí,66,Aprobado
Masculino,14,94.87152049,74,Maestría,Sí,Sí,63,Aprobado
Masculino,33,91.33994139,53,Doctorado,No,No,50,Reprobado
Masculino,14,52.78267447,77,Doctorado,No,Sí,50,Reprobado
Masculino,31,68.26784098,86,Secundario,Sí,Sí,63,Aprobado
Femenino,12,88.59409903,77,Secundario,Sí,Sí,50,Reprobado
Masculino,26,63.32491967,62,Universitario,Sí,Sí,50,Reprobado
Masculino,33,95.65828761,84,Maestría,Sí,Sí,61,Aprobado
Masculino,14,78.79992089,91,Doctorado,No,Sí,61,Aprobado
Femenino,14,54.33526059,61,Universitario,No,Sí,50,Reprobado
Femenino,37,61.36978104,100,Secundario,Sí,No,66,Aprobado
Masculino,32,76.1801138,81,Universitario,No,No,56,Reprobado
Femenino,20,89.07572409,92,Universitario,Sí,Sí,62,Aprobado
Femenino,39,89.50423186,67,Doctorado,No,Sí,64,Aprobado
Femenino,32,98.39868827,64,Doctorado,Sí,No,67,Aprobado
Femenino,33,83.49587323,100,Doctorado,No,No,71,Aprobado
Femenino,35,74.53743896,74,Secundario,Sí,Sí,57,Reprobado
Masculino,30,74.71369251,75,Secundario,Sí,No,53,Reprobado
Femenino,20,51.1092371,92,Doctorado,Sí,Sí,51,Reprobado
Masculino,38,76.75348595,70,Universitario,No,No,64,Aprobado
Femenino,28,90.03748857,78,Maestría,Sí,No,67,Aprobado
Femenino,12,78.87431355,79,Maestría,No,No,51,Reprobado
Femenino,21,95.86978065,58,Universitario,Sí,Sí,66,Aprobado
Masculino,17,61.7845873,87,Doctorado,No,Sí,57,Reprobado
Femenino,31,91.90534816,88,Maestría,Sí,No,68,Aprobado
Femenino,32,80.74751316,76,Secundario,Sí,No,52,Reprobado
Masculino,22,66.96356229,73,Maestría,No,No,61,Aprobado
Masculino,14,77.44609899,81,Doctorado,No,No,57,Reprobado
Masculino,31,68.72176849,78,Universitario,No,Sí,53,Reprobado
Femenino,11,62.05424162,63,Secundario,No,No,52,Reprobado
Femenino,39,89.50423186,67,Doctorado,No,Sí,64,Aprobado
Femenino,35,66.51742406,74,Maestría,Sí,No,59,Reprobado
Masculino,29,68.96528492,72,Universitario,No,Sí,50,Reprobado
Femenino,22,66.50497567,64,Doctorado,No,No,50,Reprobado
Masculino,19,81.68792819,56,Maestría,No,No,50,Reprobado
Masculino,37,86.04065482,64,Secundario,No,No,61,Aprobado
Masculino,36,97.22048628,93,Maestría,Sí,Sí,65,Aprobado
Femenino,34,78.288831,87,Secundario,Sí,Sí,65,Aprobado
Femenino,17,76.72279456,73,Doctorado,Sí,No,50,Reprobado
Femenino,27,84.52801162,61,Maestría,No,No,52,Reprobado
Masculino,26,95.93752611,75,Maestría,No,No,61,Aprobado
Femenino,27,78.27541737,86,Doctorado,No,Sí,59,Reprobado
Masculino,14,76.72117519,50,Doctorado,Sí,Sí,50,Reprobado
Masculino,31,53.31179889,98,Universitario,No,No,67,Aprobado
Femenino,14,70.72522921,53,Secundario,Sí,No,50,Reprobado
Masculino,30,56.61381056,64,Secundario,No,No,52,Reprobado
Femenino,35,76.59287398,67,Universitario,No,No,62,Aprobado
Femenino,19,67.46934995,54,Doctorado,No,No,50,Reprobado
Femenino,15,84.82507331,79,Doctorado,No,Sí,57,Reprobado
Femenino,34,98.72736326,94,Universitario,No,Sí,66,Aprobado
Masculino,21,65.80982911,92,Universitario,Sí,No,65,Aprobado
Masculino,37,92.32039247,61,Maestría,No,No,61,Aprobado
Masculino,32,52.57979033,81,Maestría,No,No,50,Reprobado
Femenino,13,94.37302413,69,Doctorado,No,Sí,62,Aprobado
Masculino,33,99.26836561,90,Secundario,Sí,Sí,64,Aprobado
Femenino,35,54.42041117,98,Universitario,No,Sí,59,Reprobado
Femenino,30,55.24345833,98,Universitario,No,No,62,Aprobado
Masculino,32,69.64947245,58,Doctorado,Sí,No,57,Reprobado
Masculino,13,79.92213506,79,Universitario,No,No,52,Reprobado
Masculino,16,79.95146824,71,Universitario,No,Sí,55,Reprobado
Femenino,38,98.10493929,60,Maestría,Sí,No,64,Aprobado
Femenino,31,67.57700806,96,Doctorado,No,Sí,62,Aprobado
Masculino,22,66.96356229,73,Maestría,No,No,61,Aprobado
Femenino,12,77.86526844,77,Universitario,Sí,No,50,Reprobado
Masculino,23,80.39471969,60,Doctorado,No,Sí,50,Reprobado
Femenino,19,72.85001096,79,Maestría,No,No,53,Reprobado
Femenino,28,76.9890531,81,Universitario,Sí,Sí,65,Aprobado
Masculino,25,54.39340556,52,Universitario,Sí,Sí,50,Reprobado
Masculino,24,54.46021644,96,Universitario,No,No,51,Reprobado
Femenino,28,76.9890531,81,Universitario,Sí,Sí,65,Aprobado
Femenino,26,93.91103337,94,Secundario,No,No,65,Aprobado
Femenino,38,78.98249672,96,Maestría,No,No,71,Aprobado
Femenino,37,58.10069389,90,Secundario,No,Sí,58,Reprobado
Masculino,33,86.20516646,68,Universitario,Sí,No,51,Reprobado
Femenino,38,78.98249672,96,Maestría,No,No,71,Aprobado
Femenino,17,82.44114201,98,Doctorado,No,Sí,62,Aprobado
Femenino,20,64.97979559,65,Universitario,Sí,No,50,Reprobado
Femenino,30,55.24345833,98,Universitario,No,No,62,Aprobado
Femenino,12,86.79523066,71,Maestría,Sí,Sí,57,Reprobado
Masculino,37,79.86390411,73,Doctorado,No,Sí,70,Aprobado
Femenino,10,67.25960724,96,Maestría,No,Sí,64,Aprobado
Masculino,24,86.3060422,91,Secundario,Sí,Sí,65,Aprobado
Femenino,35,60.36138245,93,Universitario,No,No,63,Aprobado
Femenino,29,66.07913823,98,Maestría,No,Sí,60,Aprobado
Masculino,38,65.38886199,93,Doctorado,No,No,67,Aprobado
Femenino,16,95.15755293,65,Universitario,Sí,No,55,Reprobado
Masculino,39,79.64814526,50,Maestría,Sí,No,55,Reprobado
Femenino,14,61.36754915,85,Secundario,Sí,Sí,50,Reprobado
Femenino,19,62.57212198,73,Secundario,No,No,50,Reprobado
